KODE PUSK.,NAMA PUSKESMAS,JENIS PUSKESMAS,latitude,longitude
P3208040101,SELAJAMBE,1,-6.9689659,108.48805
P3208050201,SUBANG,2,-7.0138053,108.5700636
P3208051201,CILEBAK,2,-7.133332999999999,108.583333
P3208061201,KARANGKENCANA,2,-7.095716899999999,108.6596232
P3208070101,CIBINGBIN,1,-7.0541873,108.7587769
P3208071201,CIBEUREUM,2,-7.0520167,108.7313756
P3208071202,CIWARU,2,-7.096783299999999,108.6623175
P3208080101,LURAGUNG,1,-7.0163148,108.6315676
P3208081201,CIMAHI,2,-6.9830741,108.6947617
P3208090101,CIDAHU,1,-6.9810899,108.6387861
P3208091201,KALIMANGGIS,2,-6.9672369,108.6137085
P3208100201,CIAWIGEBANG,2,-6.9760899,108.5939254
P3208100202,CIHAUR,2,-6.9531648,108.5775292
P3208101201,CIPICUNG,2,-6.9394056,108.5388958
P3208110201,MEKARWANGI,2,-7.010888599999999,108.6020107
P3208111201,MALEBER,2,-7.0261129,108.56709
P3208120201,GARAWANGI,2,-6.9990068,108.5357937
P3208121201,SINDANGAGUNG,2,-6.9734959,108.5244324
P3208130201,KUNINGAN,2,-6.9716657,108.5153798
P3208130202,WINDU SENGKAHAN,2,-6.971778700000001,108.5016325
P3208130203,LAMEPAYUNG,2,-6.978249399999999,108.4851924
P3208140201,SUKA MULYA,2,-6.973540799999999,108.454078
P3208150201,KRAMATMULYA,2,-6.9315948,108.4884893
P3208160201,JALAKSANA,2,-6.9187846,108.4869263
P3208161201,JAPARA,2,-6.9017035,108.5155414
P3208170101,CILIMUS,1,-6.874854099999999,108.4969227
P3208170202,LINGGARJATI,2,-6.8879194,108.4483763
P3208170203,MANGGARI,2,-6.8913167,108.5481745
P3208171201,CIGANDAMEKAR,2,-6.874367299999999,108.5314753
P3208180201,MANDIRANCAN,2,-6.8092336,108.4689934
P3208181201,PANCALANG,2,-6.821164,108.4857109
P3208190201,PASAWAHAN,2,-6.817375999999999,108.4187029
P3209010201,WALED,2,-6.918179599999999,108.7090465
P3209010202,CIBOGO,2,-6.8881622,108.6931638
